city,idx,today_o3_average,tomorrow_o3_average
Boulogne-Billancourt,6937.0,25.0,28.0
Bouguenais,5004.0,34.0,30.0
Bordeaux,5054.0,29.0,31.0
Bonneuil-sur-Marne,3102.0,28.0,31.0
Bondy,3099.0,28.0,31.0
Boissy-Saint-Léger,,,
Bois-Colombes,3085.0,25.0,28.0
Bobigny,3099.0,28.0,31.0
Blois,6583.0,33.0,32.0
Blanquefort,5058.0,29.0,31.0
Blagnac,3835.0,22.0,35.0
Bischheim,3821.0,28.0,29.0
Biarritz,10071.0,29.0,29.0
Bezons,3085.0,25.0,28.0
Béziers,,,
Béthune,8615.0,23.0,28.0
Besançon,6387.0,27.0,19.0
Bergerac,,,
Berck,,,
Berck-Plage,,,
Belfort,6386.0,30.0,33.0
Bègles,5056.0,29.0,30.0
Beauvais,5178.0,,
Beaune,,,
Bayonne,5882.0,10.0,2.0
Bayeux,,,
Bastia,10555.0,40.0,37.0
Bar-le-Duc,6357.0,23.0,25.0
Balma,3829.0,33.0,16.0
Bagnols-sur-Cèze,,,
Bagnolet,5722.0,26.0,29.0
Bagneux,5722.0,26.0,29.0
Avon,7456.0,15.0,15.0
Avion,11678.0,24.0,28.0
Avignon,6893.0,20.0,25.0
Auxerre,11946.0,27.0,27.0
Autun,,,
Aurillac,10063.0,32.0,28.0
Aulnay-sous-Bois,3099.0,28.0,31.0
Audincourt,6389.0,30.0,32.0
Auch,,,
Aubervilliers,5722.0,26.0,29.0
Aubagne,,,
Athis-Mons,3103.0,26.0,29.0
Asnières-sur-Seine,3085.0,25.0,28.0
Arras,6252.0,25.0,28.0
Armentières,6262.0,,
Arles,5049.0,21.0,26.0
Argenteuil,3085.0,25.0,28.0
Argentan,,,
Arcueil,5722.0,26.0,29.0
Antony,3091.0,26.0,29.0
Antibes,6892.0,35.0,37.0
Annonay,,,
Annemasse,3058.0,30.0,30.0
Annecy-le-Vieux,3057.0,22.0,25.0
Annecy,7740.0,22.0,25.0
Angoulême,8237.0,,
